# id | nombre  — imágenes grandes de la carpeta de Drive para revisión (Museografía/Inmersivo)
1_kDQ0tj4y1iypwnJwGWoevYu6vNkiGme|colorgraded5
1fvoDDzKYjdtXFqdEcGM1Iy99K2X_aTli|hf0701_224006
1-8gqyf2tijN6G6nfq8tLzC066i5PhAQn|hf0701_224009
13uB-qeDhT5nAUrRNyRrlTfzaDs4Z9wUJ|hf0701_224254
1AOPWegiiPoSz87QztZedpSQAO5Gupyca|telesforo_1
1LbL2Qpi2MQS0lvNpFo4_sahkjyWILcHI|telesforo_6
1SmH9jOr4UYj0aNEyIfMgLcblBDLVSewp|telesforo_8
1wMPNWhIpZV1-hl-BLaxJ8IHUwRpnZ1cD|comfy_00020
1N_YbiQEe-ggvS_l6hjMS4oScjZmPc9hn|comfy_00087
14bEaAm_PUnEMr4D2ouKYoJstH03Q1HuK|comfy_00038
1a8rCWRmSh-mvW7bSinfdsYV1ms1ZMdIb|dona_asustada
1exGCul1CyTEWR3-bHaGmTvVVeFcM1RiJ|comfy_00014
1cbq-wT2Ys3xhazjnL9pnqs_csNpjOzIb|comfy_00045
1rS3k2nsG0LUAgOHLJcx5OsC6SmDfCvOj|comfy_00068
11_iA15b6ghfX7FJ8WyfrlmGB22Ltm0cv|comfy_00157
14de3KADnh_kf0_mMiFRjsOR_le-9XFj8|comfy_00069
15D2jQVZpGdt8JzOde5CuUwTmYtNXoHSN|img_c43d1fb9
13E78GG_-cWxXIHMxuLZasXK5Qjv0M2C1|img_eb4e7372
1lyEXaPwV3H5zZ2sFtvty4z0NFmp2Qd7x|img_6337ccd3
1vfTYrK44EbDvquY3_cnsWmKd9BNh-6zz|img_2fdbb239
1lO0XwIx7ulCLxqddgP_skpXfG54HPBWP|img_dadad491
1JQ_LlQIwEuo0jV2RhPhGamvTSIB2bVjQ|img_16999030
1Xj7Fh7fBQ7l_C6xoVrG-ibhyIsG7gorN|hf0624_202545
18JhYpBSR9P906IZyH4hAONBUTz4IpuSA|hf0621_181355
1q6k2DQHK1yiWLTq5myDzegzwbpHuU71-|hf0621_030600
1DGqLzJNmL1fO2zEvPFCCsmolNzBZVMzT|hf0620_003430
1B7CfiFYb8lx1id2SajRGQUqBAckGBsJB|hf0619_182056
1NlqHQIEdxRsUtjXQN_oJDaxJi_RLPz_V|campesino_2
1B4Tk-C9OgQRuPHnmCVamK9cs1ekx-umL|campesino_1
1MuyISdLjC6YlcdhcJa27QehfUJlFVecp|ancient_mexican
1rjhFjhuhbp2ssMPWfDRbPEticVy3g3Fd|hf0612_134109
1Wa_RpZYNMhNf7_gDd7K0HpeVeywePHhs|hf0611_232701
1g_tm2DpwpR2f4H_4CJKr36XK9hwPQzpv|hf0610_222909
1996UsfGPLvtoHgpOfJFQmLM_QYi9LrWi|hf0602_214648
1oxzHfZ1Xa9VwNl24aGef6jQ97PiCcozK|museum_inst_big
1pJOE8Hz9XpLHC2hA9PXO4rClU5DFK7Qd|onepage_020104
15vdC_-K-M54G5EAiDb53vayxBUNyMqyq|onepage_015248
1eww5tH_RRQDMeFrsOzjP2_Q9GjGfDqo9|onepage_015228
1gaM4tV8sNFtd8Fe2zJ7AX7BJG6BKX6Kq|onepage_015939
1aO-7ktIagGmfd-uxOczH5B9F6XhrV94o|onepage_015308
# reintento 231348
# reintento2 232025
